*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .9816E-01
  -8.000    ,    .4977E-01
  -6.000    ,    .3922E-01
  -4.000    ,    .3163E-01
  -2.000    ,    .2708E-01
    .000    ,    .2558E-01
   2.000    ,    .2708E-01
   4.000    ,    .3179E-01
   6.000    ,    .4092E-01
   8.000    ,    .5565E-01
   9.000    ,    .6546E-01
   10.00    ,    .7686E-01
   12.00    ,    .1031    
   14.00    ,    .1347    
   16.00    ,    .1713    
   18.00    ,    .2127    
   19.00    ,    .2360    
   20.00    ,    .2647    
   21.00    ,    .2940    
   22.00    ,    .3210    

Alpha, CL
  -16.00    ,   -.4105    
  -8.000    ,   -.2426    
  -6.000    ,   -.1823    
  -4.000    ,   -.1214    
  -2.000    ,   -.6049E-01
    .000    ,    .1241E-30
   2.000    ,    .6049E-01
   4.000    ,    .1238    
   6.000    ,    .1985    
   8.000    ,    .2844    
   9.000    ,    .3313    
   10.00    ,    .3798    
   12.00    ,    .4755    
   14.00    ,    .5715    
   16.00    ,    .6655    
   18.00    ,    .7547    
   19.00    ,    .7994    
   20.00    ,    .8548    
   21.00    ,    .9057    
   22.00    ,    .9424    

Alpha, Cm
  -16.00    ,    .9052    
  -8.000    ,    .5736    
  -6.000    ,    .4304    
  -4.000    ,    .2847    
  -2.000    ,    .1404    
    .000    ,   -.2711E-31
   2.000    ,   -.1387    
   4.000    ,   -.2765    
   6.000    ,   -.4044    
   8.000    ,   -.5234    
   9.000    ,   -.5768    
   10.00    ,   -.6237    
   12.00    ,   -.6787    
   14.00    ,   -.6972    
   16.00    ,   -.6672    
   18.00    ,   -.5762    
   19.00    ,   -.5173    
   20.00    ,   -.4918    
   21.00    ,   -.4407    
   22.00    ,   -.3251    

Alpha, Cyb
  -16.00    ,   -.4383E-02
  -8.000    ,   -.4383E-02
  -6.000    ,   -.4383E-02
  -4.000    ,   -.4383E-02
  -2.000    ,   -.4383E-02
    .000    ,   -.4383E-02
   2.000    ,   -.4383E-02
   4.000    ,   -.4383E-02
   6.000    ,   -.4383E-02
   8.000    ,   -.4383E-02
   9.000    ,   -.4383E-02
   10.00    ,   -.4383E-02
   12.00    ,   -.4383E-02
   14.00    ,   -.4383E-02
   16.00    ,   -.4383E-02
   18.00    ,   -.4383E-02
   19.00    ,   -.4383E-02
   20.00    ,   -.4383E-02
   21.00    ,   -.4383E-02
   22.00    ,   -.4383E-02

Alpha, Cnb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    

Alpha, Clb
  -16.00    ,    .6752E-03
  -8.000    ,    .3989E-03
  -6.000    ,    .2998E-03
  -4.000    ,    .1997E-03
  -2.000    ,    .9947E-04
    .000    ,    .3790E-10
   2.000    ,   -.9947E-04
   4.000    ,   -.2037E-03
   6.000    ,   -.3264E-03
   8.000    ,   -.4677E-03
   9.000    ,   -.5449E-03
   10.00    ,   -.6247E-03
   12.00    ,   -.7820E-03
   14.00    ,   -.9398E-03
   16.00    ,   -.1094E-02
   18.00    ,   -.1241E-02
   19.00    ,   -.1315E-02
   20.00    ,   -.1406E-02
   21.00    ,   -.1489E-02
   22.00    ,   -.1550E-02

Alpha, Q_Qinf
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, Epslon
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, d_Epslon
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, CLq
  -16.00    ,    .2034    
  -8.000    ,    .2034    
  -6.000    ,    .2034    
  -4.000    ,    .2034    
  -2.000    ,    .2034    
    .000    ,    .2034    
   2.000    ,    .2034    
   4.000    ,    .2034    
   6.000    ,    .2034    
   8.000    ,    .2034    
   9.000    ,    .2034    
   10.00    ,    .2034    
   12.00    ,    .2034    
   14.00    ,    .2034    
   16.00    ,    .2034    
   18.00    ,    .2034    
   19.00    ,    .2034    
   20.00    ,    .2034    
   21.00    ,    .2034    
   22.00    ,    .2034    

Alpha, Cmq
  -16.00    ,   -.5774    
  -8.000    ,   -.5774    
  -6.000    ,   -.5774    
  -4.000    ,   -.5774    
