*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .9372E-01
  -8.000    ,    .4755E-01
  -6.000    ,    .3735E-01
  -4.000    ,    .2999E-01
  -2.000    ,    .2558E-01
    .000    ,    .2412E-01
   2.000    ,    .2558E-01
   4.000    ,    .3016E-01
   6.000    ,    .3905E-01
   8.000    ,    .5344E-01
   9.000    ,    .6303E-01
   10.00    ,    .7419E-01
   12.00    ,    .1000    
   14.00    ,    .1309    
   16.00    ,    .1668    
   18.00    ,    .2075    
   19.00    ,    .2315    
   20.00    ,    .2602    
   21.00    ,    .2886    
   22.00    ,    .3164    

Alpha, CL
  -16.00    ,   -.4129    
  -8.000    ,   -.2457    
  -6.000    ,   -.1848    
  -4.000    ,   -.1232    
  -2.000    ,   -.6139E-01
    .000    ,    .1241E-30
   2.000    ,    .6139E-01
   4.000    ,    .1256    
   6.000    ,    .2009    
   8.000    ,    .2876    
   9.000    ,    .3348    
   10.00    ,    .3836    
   12.00    ,    .4796    
   14.00    ,    .5750    
   16.00    ,    .6678    
   18.00    ,    .7551    
   19.00    ,    .8020    
   20.00    ,    .8580    
   21.00    ,    .9063    
   22.00    ,    .9451    

Alpha, Cm
  -16.00    ,    .9121    
  -8.000    ,    .5847    
  -6.000    ,    .4391    
  -4.000    ,    .2909    
  -2.000    ,    .1436    
    .000    ,   -.2711E-31
   2.000    ,   -.1419    
   4.000    ,   -.2826    
   6.000    ,   -.4133    
   8.000    ,   -.5346    
   9.000    ,   -.5892    
   10.00    ,   -.6372    
   12.00    ,   -.6939    
   14.00    ,   -.7108    
   16.00    ,   -.6759    
   18.00    ,   -.5775    
   19.00    ,   -.5268    
   20.00    ,   -.5039    
   21.00    ,   -.4422    
   22.00    ,   -.3350    

Alpha, Cyb
  -16.00    ,   -.4383E-02
  -8.000    ,   -.4383E-02
  -6.000    ,   -.4383E-02
  -4.000    ,   -.4383E-02
  -2.000    ,   -.4383E-02
    .000    ,   -.4383E-02
   2.000    ,   -.4383E-02
   4.000    ,   -.4383E-02
   6.000    ,   -.4383E-02
   8.000    ,   -.4383E-02
   9.000    ,   -.4383E-02
   10.00    ,   -.4383E-02
   12.00    ,   -.4383E-02
   14.00    ,   -.4383E-02
   16.00    ,   -.4383E-02
   18.00    ,   -.4383E-02
   19.00    ,   -.4383E-02
   20.00    ,   -.4383E-02
   21.00    ,   -.4383E-02
   22.00    ,   -.4383E-02

Alpha, Cnb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    

Alpha, Clb
  -16.00    ,    .6793E-03
  -8.000    ,    .4043E-03
  -6.000    ,    .3041E-03
  -4.000    ,    .2027E-03
  -2.000    ,    .1010E-03
    .000    ,    .6678E-11
   2.000    ,   -.1010E-03
   4.000    ,   -.2066E-03
   6.000    ,   -.3306E-03
   8.000    ,   -.4731E-03
   9.000    ,   -.5508E-03
   10.00    ,   -.6311E-03
   12.00    ,   -.7891E-03
   14.00    ,   -.9460E-03
   16.00    ,   -.1099E-02
   18.00    ,   -.1242E-02
   19.00    ,   -.1319E-02
   20.00    ,   -.1412E-02
   21.00    ,   -.1491E-02
   22.00    ,   -.1555E-02

Alpha, Q_Qinf
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, Epslon
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, d_Epslon
  -16.00    ,    .1000E-29
  -8.000    ,    .1000E-29
  -6.000    ,    .1000E-29
  -4.000    ,    .1000E-29
  -2.000    ,    .1000E-29
    .000    ,    .1000E-29
   2.000    ,    .1000E-29
   4.000    ,    .1000E-29
   6.000    ,    .1000E-29
   8.000    ,    .1000E-29
   9.000    ,    .1000E-29
   10.00    ,    .1000E-29
   12.00    ,    .1000E-29
   14.00    ,    .1000E-29
   16.00    ,    .1000E-29
   18.00    ,    .1000E-29
   19.00    ,    .1000E-29
   20.00    ,    .1000E-29
   21.00    ,    .1000E-29
   22.00    ,    .1000E-29

Alpha, CLq
  -16.00    ,    .2070    
  -8.000    ,    .2070    
  -6.000    ,    .2070    
  -4.000    ,    .2070    
  -2.000    ,    .2070    
    .000    ,    .2070    
   2.000    ,    .2070    
   4.000    ,    .2070    
   6.000    ,    .2070    
   8.000    ,    .2070    
   9.000    ,    .2070    
   10.00    ,    .2070    
   12.00    ,    .2070    
   14.00    ,    .2070    
   16.00    ,    .2070    
   18.00    ,    .2070    
   19.00    ,    .2070    
   20.00    ,    .2070    
   21.00    ,    .2070    
   22.00    ,    .2070    

Alpha, Cmq
  -16.00    ,   -.5980    
  -8.000    ,   -.5980    
  -6.000    ,   -.5980    
  -4.000    ,   -.5980    
  -2.000    ,   -.5980    
    .000    ,   -.5980    
   2.000    ,   -.5980    
   4.000    ,   -.5980    
   6.000    ,   -.5980    
   8.000    ,   -.5980    
   9.000    ,   -.5980    
   10.00    ,   -.5980    
   12.00    ,   -.5980    
   14.00    ,   -.5980    
   16.00    ,   -.5980    
   18.00    ,   -.5980    
   19.00    ,   -.5980    
   20.00    ,   -.5980    
   21.00    ,   -.5980    
   22.00    ,   -.5980    

Alpha, CLad_Basic
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    

Alpha, Cmad_Basic
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   6.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    

Alpha, Clp
  -16.00    ,   -.1649E-03
  -8.000    ,   -.3533E-03
  -6.000    ,   -.3770E-03
  -4.000    ,   -.3765E-03
  -2.000    ,   -.3737E-03
    .000    ,   -.3716E-03
   2.000    ,   -.3737E-03
   4.000    ,   -.3765E-03
   6.000    ,   -.3770E-03
   8.000    ,   -.3754E-03
   9.000    ,   -.3676E-03
   10.00    ,   -.3394E-03
   12.00    ,   -.2621E-03
   14.00    ,   -.1873E-03
   16.00    ,   -.1013E-03
   18.00    ,   -.5824E-04
   19.00    ,   -.1133E-03
   20.00    ,   -.1025E-03
   21.00    ,    .3718E-04
   22.00    ,    .1882E-03

Alpha, Cyp
  -16.00    ,   -.8922E-03
  -8.000    ,   -.4551E-03
  -6.000    ,   -.3164E-03
  -4.000    ,   -.2091E-03
  -2.000    ,   -.1041E-03
    .000    ,     .000    
   2.000    ,    .1041E-03
   4.000    ,    .2091E-03
   6.000    ,    .3164E-03
   8.000    ,    .4273E-03
   9.000    ,    .4897E-03
   10.00    ,    .5724E-03
   12.00    ,    .7570E-03
   14.00    ,    .9359E-03
   16.00    ,    .1116E-02
   18.00    ,    .1201E-02
   19.00    ,    .1133E-02
   20.00    ,    .1185E-02
   21.00    ,    .1439E-02
   22.00    ,    .1616E-02

Alpha, Cnp
  -16.00    ,    .2764E-03
  -8.000    ,    .1282E-03
  -6.000    ,    .8538E-04
  -4.000    ,    .5624E-04
  -2.000    ,    .2801E-04
    .000    ,     .000    
   2.000    ,   -.2801E-04
   4.000    ,   -.5624E-04
   6.000    ,   -.8538E-04
   8.000    ,   -.1160E-03
   9.000    ,   -.1346E-03
   10.00    ,   -.1628E-03
   12.00    ,   -.2294E-03
   14.00    ,   -.2943E-03
   16.00    ,   -.3594E-03
   18.00    ,   -.3893E-03
   19.00    ,   -.3637E-03
   20.00    ,   -.3814E-03
   21.00    ,   -.4660E-03
   22.00    ,   -.5052E-03

Alpha, Cnr
  -16.00    ,   -.3709E-03
  -8.000    ,   -.1455E-03
  -6.000    ,   -.8943E-04
  -4.000    ,   -.4904E-04
  -2.000    ,   -.2487E-04
    .000    ,   -.1690E-04
   2.000    ,   -.2487E-04
   4.000    ,   -.4904E-04
   6.000    ,   -.8943E-04
   8.000    ,   -.1455E-03
   9.000    ,   -.1791E-03
   10.00    ,   -.2148E-03
   12.00    ,   -.2804E-03
   14.00    ,   -.3349E-03
   16.00    ,   -.3709E-03
   18.00    ,   -.3807E-03
   19.00    ,   -.3865E-03
   20.00    ,   -.4081E-03
   21.00    ,   -.4105E-03
   22.00    ,   -.3904E-03

Alpha, Clr
  -16.00    ,   -.1923E-02
  -8.000    ,   -.1159E-02
  -6.000    ,   -.8707E-03
  -4.000    ,   -.5796E-03
  -2.000    ,   -.2885E-03
    .000    ,     .000    
   2.000    ,    .2885E-03
   4.000    ,    .5796E-03
   6.000    ,    .8707E-03
   8.000    ,    .1159E-02
   9.000    ,    .1302E-02
   10.00    ,    .1438E-02
   12.00    ,    .1659E-02
   14.00    ,    .1823E-02
   16.00    ,    .1923E-02
   18.00    ,    .1950E-02
   19.00    ,    .1965E-02
   20.00    ,    .2022E-02
   21.00    ,    .2028E-02
   22.00    ,    .1976E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1773    
  -15.00    ,   -.1502    
  -10.00    ,   -.1024    
  -5.000    ,   -.5118E-01
    .000    ,     .000    
   5.000    ,    .5118E-01
   10.00    ,    .1024    
   13.00    ,    .1319    
   16.00    ,    .1584    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .6261    
  -15.00    ,    .5270    
  -10.00    ,    .3604    
  -5.000    ,    .1804    
    .000    ,     .000    
   5.000    ,   -.1804    
   10.00    ,   -.3604    
   13.00    ,   -.4631    
   16.00    ,   -.5562    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .3401E-01,    .2803E-01,    .1822E-01,    .8634E-02,     .000    ,   -.7686E-02,   -.1442E-01,   -.1789E-01,   -.2072E-01
  -8.000    ,    .1986E-01,    .1606E-01,    .1006E-01,    .4554E-02,     .000    ,   -.3606E-02,   -.6264E-02,   -.7368E-02,   -.8089E-02
  -6.000    ,    .1632E-01,    .1306E-01,    .8016E-02,    .3534E-02,     .000    ,   -.2586E-02,   -.4224E-02,   -.4739E-02,   -.4931E-02
  -4.000    ,    .1278E-01,    .1007E-01,    .5976E-02,    .2514E-02,     .000    ,   -.1566E-02,   -.2184E-02,   -.2109E-02,   -.1773E-02
  -2.000    ,    .9241E-02,    .7076E-02,    .3936E-02,    .1494E-02,     .000    ,   -.5460E-03,   -.1441E-03,    .5203E-03,    .1385E-02
    .000    ,    .5703E-02,    .4082E-02,    .1896E-02,    .4740E-03,     .000    ,    .4740E-03,    .1896E-02,    .3150E-02,    .4543E-02
   2.000    ,    .2165E-02,    .1089E-02,   -.1441E-03,   -.5460E-03,     .000    ,    .1494E-02,    .3936E-02,    .5779E-02,    .7701E-02
   4.000    ,   -.1373E-02,   -.1905E-02,   -.2184E-02,   -.1566E-02,     .000    ,    .2514E-02,    .5976E-02,    .8409E-02,    .1086E-01
   6.000    ,   -.4912E-02,   -.4898E-02,   -.4224E-02,   -.2586E-02,     .000    ,    .3534E-02,    .8016E-02,    .1104E-01,    .1402E-01
   8.000    ,   -.8450E-02,   -.7892E-02,   -.6264E-02,   -.3606E-02,     .000    ,    .4554E-02,    .1006E-01,    .1367E-01,    .1717E-01
   9.000    ,   -.1022E-01,   -.9389E-02,   -.7284E-02,   -.4116E-02,     .000    ,    .5064E-02,    .1108E-01,    .1498E-01,    .1875E-01
   10.00    ,   -.1199E-01,   -.1089E-01,   -.8304E-02,   -.4626E-02,     .000    ,    .5574E-02,    .1210E-01,    .1630E-01,    .2033E-01
   12.00    ,   -.1553E-01,   -.1388E-01,   -.1034E-01,   -.5646E-02,     .000    ,    .6594E-02,    .1414E-01,    .1893E-01,    .2349E-01
   14.00    ,   -.1906E-01,   -.1687E-01,   -.1238E-01,   -.6666E-02,     .000    ,    .7614E-02,    .1618E-01,    .2156E-01,    .2665E-01
   16.00    ,   -.2260E-01,   -.1987E-01,   -.1442E-01,   -.7686E-02,     .000    ,    .8634E-02,    .1822E-01,    .2419E-01,    .2981E-01
   18.00    ,   -.2614E-01,   -.2286E-01,   -.1646E-01,   -.8706E-02,     .000    ,    .9654E-02,    .2026E-01,    .2682E-01,    .3296E-01
   19.00    ,   -.2791E-01,   -.2436E-01,   -.1748E-01,   -.9216E-02,     .000    ,    .1016E-01,    .2128E-01,    .2813E-01,    .3454E-01
   20.00    ,   -.2968E-01,   -.2585E-01,   -.1850E-01,   -.9726E-02,     .000    ,    .1067E-01,    .2230E-01,    .2945E-01,    .3612E-01
   21.00    ,   -.3145E-01,   -.2735E-01,   -.1952E-01,   -.1024E-01,     .000    ,    .1118E-01,    .2332E-01,    .3076E-01,    .3770E-01
   22.00    ,   -.3322E-01,   -.2885E-01,   -.2054E-01,   -.1075E-01,     .000    ,    .1169E-01,    .2434E-01,    .3207E-01,    .3928E-01

Plain Flaps (set 2)
DeltaFlap, CL
   20.00    ,   -.1785    
   15.00    ,   -.1512    
   10.00    ,   -.1031    
   5.000    ,   -.5153E-01
    .000    ,     .000    
  -5.000    ,    .5153E-01
  -10.00    ,    .1031    
  -13.00    ,    .1328    
  -16.00    ,    .1595    

Plain Flaps (set 2)
DeltaFlap, Cm
   20.00    ,    .6289    
   15.00    ,    .5311    
   10.00    ,    .3631    
   5.000    ,    .1818    
    .000    ,     .000    
  -5.000    ,   -.1818    
  -10.00    ,   -.3631    
  -13.00    ,   -.4667    
  -16.00    ,   -.5606    

Cd_Flaps for Plain Flaps (set 2)
Alpha, DeltaFlap
            ,    20.00    ,    15.00    ,    10.00    ,    5.000    ,     .000    ,   -5.000    ,   -10.00    ,   -13.00    ,   -16.00    
  -16.00    ,    .3448E-01,    .2842E-01,    .1847E-01,    .8752E-02,     .000    ,   -.7791E-02,   -.1462E-01,   -.1813E-01,   -.2100E-01
  -8.000    ,    .2013E-01,    .1628E-01,    .1019E-01,    .4617E-02,     .000    ,   -.3655E-02,   -.6348E-02,   -.7466E-02,   -.8195E-02
  -6.000    ,    .1655E-01,    .1324E-01,    .8127E-02,    .3583E-02,     .000    ,   -.2621E-02,   -.4280E-02,   -.4800E-02,   -.4994E-02
  -4.000    ,    .1296E-01,    .1021E-01,    .6059E-02,    .2549E-02,     .000    ,   -.1587E-02,   -.2212E-02,   -.2135E-02,   -.1793E-02
